product_id,카테고리,평점,속성_num,트러블,수분,세정력,보습,메이크업,건성,진정,저자극,세안,화장,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,흡수,쿨링,여드름,모공,지성,피지,거품,각질,향,냄새,건조,유분,약산성,review
A000000016809,skincare,4.7,4,3,12,0,19,0,0,3,11,0,0,0.64,0.34,0.02,12,0,0,0,4,0,0,0,0,0,12,9,0,100
A000000016873,skincare,4.7,2,8,22,0,27,0,0,6,15,0,0,0.55,0.41,0.04,17,2,4,0,6,0,0,0,0,0,0,0,0,100
A000000102377,cleansing,4.6,5,15,0,14,0,0,0,0,23,0,0,0.14,0.52,0.34,0,0,18,1,9,3,22,0,0,0,3,0,4,100
A000000103098,skincare,4.6,4,9,20,0,5,0,0,4,5,0,0,0.03,0.28,0.69,3,0,0,0,35,9,0,0,0,0,14,15,0,99
A000000105886,bodycare,4.8,4,0,1,0,31,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,2,0,69
A000000105887,bodycare,4.8,4,0,6,0,45,0,0,2,4,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,13,4,0,99
A000000106038,skincare,4.7,2,19,11,0,4,0,0,15,16,0,0,0.08,0.56,0.37,5,0,23,16,13,0,0,0,0,0,0,0,0,94
A000000106503,suncare,4.7,4,18,9,0,2,0,0,1,23,0,0,0.24,0.65,0.11,15,0,0,0,10,0,0,0,0,0,23,16,0,100
A000000110508,bodycare,4.7,4,1,10,0,35,0,0,1,4,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,32,9,0,100
A000000110832,bodycare,4.8,3,2,0,10,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,20,0,20,2,1,0,0,80
A000000111986,cleansing,4.8,1,7,4,17,1,17,10,3,49,16,24,0.29,0.55,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,98
A000000112172,skincare,4.7,4,12,19,0,35,0,0,3,10,0,0,0.54,0.43,0.03,17,0,0,0,10,0,0,0,0,0,31,14,0,100
A000000112173,skincare,4.7,4,7,8,0,18,0,0,0,25,0,0,0.4,0.55,0.05,29,0,0,0,5,0,0,0,0,0,15,7,0,97
A000000112179,skincare,4.8,4,18,17,0,17,0,0,4,18,0,0,0.48,0.48,0.04,29,0,0,0,2,1,0,0,0,0,20,3,0,100
