,product_id,카테고리,평점,속성_num,흡수,트러블,진정,지성,저자극,유분,수분,보습,건조,피지,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요
256,A000000129772,스킨케어,4.7,4,11,16,25,14,17,16,14,27,22,45,0.38,0.53,0.09
257,A000000175032,스킨케어,4.7,4,49,17,8,11,7,9,18,24,27,2,0.51,0.47,0.02
258,A000000174316,스킨케어,4.8,4,30,30,44,16,14,23,26,42,31,5,0.28,0.68,0.05
259,A000000173360,바디케어,4.7,4,0,0,6,2,3,0,1,39,16,0,,,
260,A000000010460,바디케어,4.8,4,20,1,0,1,3,2,4,46,23,0,,,
261,A000000117620,스킨케어,4.5,4,3,2,1,1,2,0,2,7,4,0,0.68,0.32,0.00
262,A000000016430,바디케어,4.6,4,9,1,4,1,0,3,2,36,27,0,,,
263,A000000173302,스킨케어,4.9,4,1,8,12,2,12,6,5,3,4,0,,,
264,A000000169069,스킨케어,4.7,4,44,25,25,33,23,34,81,41,44,9,0.27,0.55,0.18
265,A000000149810,스킨케어,4.5,4,20,8,16,8,12,7,22,20,19,2,0.26,0.48,0.26
266,A000000156521,스킨케어,4.7,4,43,28,50,29,22,9,31,24,29,3,0.16,0.66,0.18
