product_id,review
A000000145279,36
A000000145282,76
A000000145283,76
A000000145285,100
A000000145286,100
A000000145287,100
A000000145331,96
A000000145332,100
A000000145333,100
A000000145360,100
A000000145371,100
A000000145526,100
A000000146011,43
A000000146230,100
A000000146772,100
A000000147106,44
A000000147109,100
A000000147119,100
A000000147860,100
A000000147869,100
A000000147872,89
A000000147891,100
A000000147932,100
A000000148106,63
A000000148109,100
A000000148112,99
A000000148899,100
A000000148900,100
A000000148903,99
A000000149633,100
A000000149641,100
A000000149717,100
A000000149760,100
A000000149810,100
A000000149874,100
A000000149877,75
A000000149880,100
A000000149881,95
A000000149882,99
A000000149902,100
A000000149903,100
A000000150451,100
A000000150890,100
A000000150909,100
A000000150937,100
A000000151356,100
A000000151358,100
A000000152029,100
A000000152514,100
A000000152580,99
A000000152707,100
A000000152767,100
A000000152786,32
A000000153300,33
A000000153976,100
A000000153980,100
A000000154158,100
A000000154339,88
A000000154753,88
A000000154923,99
A000000155239,61
A000000155279,31
A000000155399,87
A000000155402,77
A000000155409,100
A000000155423,37
A000000155727,54
A000000156125,100
A000000156127,100
A000000156128,100
A000000156315,99
A000000156377,100
A000000156401,100
A000000156510,100
A000000156511,100
A000000156512,100
A000000156521,99
A000000156680,100
A000000156683,100
A000000156684,100
A000000156842,99
A000000157285,100
A000000157294,100
A000000157648,100
A000000158614,67
A000000158630,100
A000000158992,100
A000000158993,62
A000000159370,100
A000000159372,100
A000000159467,100
A000000159468,100
A000000159838,100
A000000159921,100
A000000160470,98
A000000160716,100
A000000160724,100
A000000160790,100
A000000161043,100
A000000161165,100
A000000161167,100
A000000161313,100
A000000161314,100
A000000161316,100
A000000161319,100
A000000161444,98
A000000161488,62
A000000161489,100
A000000161718,99
A000000161719,100
A000000161722,100
A000000161804,42
A000000161805,83
A000000161808,84
A000000161882,26
A000000161883,69
A000000161960,100
A000000162356,100
A000000162415,100
A000000162460,100
A000000162480,100
A000000162948,100
A000000162949,100
A000000162950,100
A000000163275,92
A000000163278,99
A000000163281,100
A000000163374,100
A000000163399,100
A000000163545,81
A000000163734,90
A000000163735,100
A000000163736,97
A000000163738,100
A000000163742,100
A000000163744,100
A000000164103,100
A000000164206,100
A000000164210,100
A000000164211,100
A000000164213,100
A000000164216,100
A000000164236,51
A000000164360,100
A000000164403,100
A000000164409,56
A000000164410,100
A000000164628,63
A000000165055,47
A000000165056,100
A000000165272,100
A000000165309,99
A000000165333,100
A000000165557,100
A000000165564,100
A000000165699,98
A000000165728,100
A000000165732,99
A000000165808,61
A000000165841,100
A000000165887,100
A000000166013,100
A000000166033,100
A000000166038,100
A000000166267,100
A000000166303,100
A000000166426,31
A000000166433,76
A000000166435,100
A000000166436,100
A000000166867,100
A000000166868,62
A000000166869,43
A000000167164,100
A000000167203,100
A000000167993,45
A000000167994,37
A000000168145,52
A000000168159,35
A000000168260,32
